id,variable,ref_ct,srebp1c_ct,nqo1_ct,fxr_ct,scd1_ct,cyp7a1_ct,shp_ct,tnfa_ct,il1b_ct
1,1.HFD,30.19,29.11,32.8,28.59,27.74,30.9,31.31,33.16,31.19
1,1.HFD,30.13,28.17,32.74,29.2,27.35,30.57,31.33,33.14,31.49
2,1.HFD,29.37,31.12,33.58,29.54,28.13,30.97,32.32,33.99,31.73
2,1.HFD,29.33,30.39,33.2,30.11,27.65,30.72,32.11,33.06,31.43
3,1.HFD,31.39,30.33,35.06,30.05,29.88,33.41,31.07,34.76,32.76
3,1.HFD,31.69,29.49,35.24,30.78,29.54,33.22,31.18,34.95,33.04
4,1.HFD,29.25,30.6,33.92,29.86,27.9,31.84,33.99,33.43,32.47
4,1.HFD,29.47,29.68,33.67,30.73,27.96,31.69,35.1,32.77,32.08
5,1.HFD,30.8,29.44,33.86,29.66,29.56,30.99,34.85,35.96,32.31
5,1.HFD,30.75,30.37,33.74,30.31,29.51,30.81,34.7,35.09,32.23
6,1.HFD,31.04,29.59,33.26,29.28,28.52,30.05,32.96,34.24,31.9
6,1.HFD,30.38,29.17,33.27,30.11,28.28,29.7,32.72,34.28,31.83
7,1.HFD,31.26,29.62,36.55,29.48,29.07,31.3,35.29,36.46,35.78
7,1.HFD,30.25,29.76,34.43,30.14,28.81,31.36,36.5,35.44,34.55
8,1.HFD,29.88,28.15,33.7,29.02,27.77,30.71,31.45,35.28,34.47
8,1.HFD,29.86,29.03,34.45,29.79,27.87,30.61,31.56,34.6,34.15
9,1.HFD,29.65,29.84,34.45,29.95,29.59,30.63,33.9,34.35,34.03
9,1.HFD,29.76,29.36,34.36,29.82,29.62,30.68,33.53,34.53,33.55
10,1.HFD,29.04,28.83,32.88,29.12,27.62,29.32,32.18,33.71,31.83
10,1.HFD,29.81,28.5,32.64,29.14,27.58,29.38,32.14,33.34,31.36
11,1.HFD,31.02,28.42,34.53,30.53,28.86,31.28,34.24,34.92,34.23
11,1.HFD,31.7,28.64,33.66,30.29,28.81,31.21,34.21,35.38,33.63
